Title,Author,Character,Gender,Location,Longitude,Latitude
Puck,Ouida,Leopold Lance,Male,St James street,-0.139306,51.506727
Puck,Ouida,Fanfreluche,Female,Paris,2.352222,48.856613
Puck,Ouida,Fanfreluche,Female,Park,-0.165772,51.507241
Puck,Ouida,Fanfreluche,Female,Ladies Mile,-0.165772,51.507241
Puck,Ouida,Fanfreluche,Female,Leviathon,-0.082225,51.512714
Puck,Ouida,Fanfreluche,Female,The Coronet theater,-0.19816,51.508648
Puck,Ouida,Fanfreluche,Female,Rotten Row,-0.165731,51.507282
Puck,Ouida,Fanfreluche,Female,Leviathon,-0.082225,51.512714
Puck,Ouida,Fanfreluche,Female,Ascot,-0.675547,51.407659
Puck,Ouida,Fanfreluche,Female,Maidenhead,-0.72284,51.525907
Puck,Ouida,Fanfreluche,Female,Bucks,-0.811092,51.865959
Puck,Ouida,Fanfreluche,Female,Coronet theater,-0.19816,51.508648
Puck,Ouida,Fanfreluche,Female,Rotten Row,-0.165731,51.507282
Puck,Ouida,Fanfreluche,Female,Belvoir,-0.776149,52.889865
Puck,Ouida,Fanfreluche,Female,Richmond,-0.303846,51.4642
Puck,Ouida,Fanfreluche,Female,Coronet theater,-0.19816,51.508648
Puck,Ouida,Fanfreluche,Female,West of Ireland ,-9.057684,53.276897
Puck,Ouida,Fanfreluche,Female,Hyde park,-0.165772,51.507241
Puck,Ouida,Fanfreluche,Female,South kensington,-0.215595,51.514273
Puck,Ouida,Fanfreluche,Female,South Kensington,-0.178883,51.496107
Puck,Ouida,Laura Pearl,Female,Houndsditch or Shoreditch,-0.078989,51.515727
Puck,Ouida,Laura Pearl,Female,Baden,8.226383,48.772326
Puck,Ouida,Laura Pearl,Female,Paris,2.352222,48.856613
Puck,Ouida,Laura Pearl,Female,Park,0.156833333,51.53141667
Puck,Ouida,Laura Pearl,Female,Ladies Mile,-0.165772,51.507241
Puck,Ouida,Laura Pearl,Female,Coronet theater,-0.19816,51.508648
Puck,Ouida,Laura Pearl,Female,Rotten Row,-0.165731,51.507282
Puck,Ouida,Laura Pearl,Female,Leviathon,-0.082225,51.512714
Puck,Ouida,Laura Pearl,Female,3 blocks from Coronet,-0.197114,51.508979
Puck,Ouida,Laura Pearl,Female,Richmond park,-0.274554,51.441152
Puck,Ouida,Laura Pearl,Female,Kensington gardens,-0.179422,51.506933
Puck,Ouida,Laura Pearl,Female,Leviathon,-0.082225,51.512714
Puck,Ouida,Laura Pearl,Female,Coronet theater,-0.19816,51.508648
